document	page	line	distance	comp_delta
0806.1585	1	1	2	0
0806.1585	1	2	2	0
0806.1585	1	3	2	0
0806.1585	1	4	3	0
0806.1585	1	5	0	0
0806.1585	1	6	7	0
0806.1585	1	7	3	0
0806.1585	1	8	19	0
0806.1585	2	1	12	0
0806.1585	2	2	1	0
0806.1585	2	3	3	0
0806.1585	2	4	1	1
0806.1585	2	5	1	0
0806.1585	2	6	0	0
0806.1585	2	7	1	0
0806.1585	2	8	1	0
0806.1585	2	9	1	0
0806.1585	2	10	0	0
0806.1585	2	11	1	0
0806.1585	2	12	2	0
0806.1585	2	13	1	0
0806.1585	2	14	1	0
0806.1585	2	15	0	0
0806.1585	2	16	0	0
0806.1585	3	1	0	0
0806.1585	3	2	2	0
0806.1585	3	3	2	0
0806.1585	3	4	1	0
0806.1585	3	5	1	0
0806.1585	3	6	1	0
0806.1585	3	7	6	0
0806.1585	3	8	0	0
0806.1585	3	9	4	0
0806.1585	3	10	2	0
0806.1585	3	11	7	0
0806.1585	3	12	0	0
0806.1585	3	13	4	0
0806.1585	3	14	9	0
0806.1585	3	15	1	0
0806.1585	3	16	6	0
0806.1585	3	17	2	0
0806.1585	4	1	2	0
0806.1585	4	2	0	0
0806.1585	4	3	1	0
0806.1585	4	4	1	0
0806.1585	4	5	1	0
0806.1585	4	6	1	0
0806.1585	4	7	0	0
0806.1585	4	8	2	0
0806.1585	4	9	1	0
0806.1585	4	10	0	0
0806.1585	4	11	0	0
0806.1585	4	12	0	0
0806.1585	4	13	0	0
0806.1585	4	14	0	0
0806.1585	4	15	0	0
0806.1585	4	16	0	0
0806.1585	4	17	0	0
0806.1585	5	1	3	0
0806.1585	5	2	0	0
0806.1585	5	3	0	0
0806.1585	5	4	0	0
0806.1585	5	5	1	0
0806.1585	5	6	0	0
0806.1585	5	7	1	0
0806.1585	5	8	2	0
0806.1585	5	9	1	0
0806.1585	5	10	0	0
0806.1585	5	11	2	0
0806.1585	5	12	4	0
0806.1585	5	13	3	0
0806.1585	5	14	0	0
0806.1585	5	15	0	0
0806.1585	5	16	0	0
0806.1585	6	1	2	0
0806.1585	6	2	1	0
0806.1585	6	3	0	0
0806.1585	6	4	1	0
0806.1585	6	5	0	0
0806.1585	6	6	2	0
0806.1585	6	7	3	0
0806.1585	6	8	0	0
0806.1585	6	9	1	0
0806.1585	6	10	0	0
0806.1585	6	11	3	0
0806.1585	6	12	1	0
0806.1585	6	13	0	0
0806.1585	6	14	2	0
0806.1585	6	15	3	0
0806.1585	6	16	2	0
0806.1585	6	17	0	0
0806.1585	7	1	2	0
0806.1585	7	2	0	0
0806.1585	7	3	0	0
0806.1585	7	4	0	0
0806.1585	7	5	1	0
0806.1585	7	6	0	0
0806.1585	7	7	3	0
0806.1585	7	8	1	0
0806.1585	7	9	0	0
0806.1585	7	10	0	0
0806.1585	7	11	0	0
0806.1585	7	12	0	0
0806.1585	7	13	9	0
0806.1585	7	14	1	0
0806.1585	7	15	1	0
0806.1585	7	16	2	0
0806.1585	7	17	2	0
0806.1585	7	18	3	0
0806.1585	7	19	1	0
0806.1585	7	20	0	0
0806.1585	8	1	0	0
0806.1585	8	2	1	0
0806.1585	8	3	0	0
0806.1585	8	4	0	0
0806.1585	8	5	0	0
0806.1585	8	6	0	0
0806.1585	8	7	3	0
0806.1585	8	8	3	0
0806.1585	8	9	2	0
0806.1585	8	10	0	0
0806.1585	8	11	1	0
0806.1585	8	12	0	0
0806.1585	8	13	4	0
0806.1585	9	1	1	0
0806.1585	9	2	1	0
0806.1585	9	3	3	0
0806.1585	9	4	1	0
0806.1585	9	5	1	0
0806.1585	9	6	0	0
0806.1585	9	7	1	0
0806.1585	9	8	0	0
0806.1585	9	9	1	0
0806.1585	9	10	7	0
0806.1585	9	11	9	0
0806.1585	9	12	0	0
0806.1585	9	13	2	0
0806.1585	9	14	1	0
0806.1585	10	1	5	0
0806.1585	10	2	5	0
0806.1585	10	3	4	0
0806.1585	10	4	2	0
0806.1585	10	5	3	0
0806.1585	10	6	2	0
0806.1585	10	7	0	0
0806.1585	10	8	0	0
0806.1585	10	9	2	0
0806.1585	10	10	0	0
0806.1585	10	11	0	0
0806.1585	10	12	0	0
0806.1585	10	13	0	0
0806.1585	11	1	0	0
0806.1585	11	2	1	0
0806.1585	11	3	1	0
0806.1585	11	4	16	2
0806.1585	11	5	19	2
0806.1585	11	6	1	0
0806.1585	11	7	0	0
0806.1585	11	8	1	0
0806.1585	11	9	1	0
0806.1585	11	10	3	0
0806.1585	11	11	2	0
0806.1585	11	12	3	0
0806.1585	11	13	1	0
0806.1585	11	14	1	0
